AcX = -656 | AcY = 12132 | AcZ = 9052 | GyX = -3696 | GyY = -22 | GyZ = -4701
AcX = -696 | AcY = 12864 | AcZ = 8312 | GyX = -3728 | GyY = 191 | GyZ = -4376
AcX = -1332 | AcY = 13532 | AcZ = 7044 | GyX = -3744 | GyY = -19 | GyZ = -4469
AcX = -1516 | AcY = 14120 | AcZ = 6640 | GyX = -3728 | GyY = 199 | GyZ = -4748
AcX = -3172 | AcY = 14676 | AcZ = 3964 | GyX = -3712 | GyY = -186 | GyZ = -4562
AcX = -3420 | AcY = 14884 | AcZ = 2880 | GyX = -3728 | GyY = -19 | GyZ = -4615
AcX = -3936 | AcY = 14920 | AcZ = 1796 | GyX = -3696 | GyY = 483 | GyZ = -4537
AcX = -4076 | AcY = 14936 | AcZ = 1120 | GyX = -3696 | GyY = 420 | GyZ = -4639
AcX = -4552 | AcY = 14860 | AcZ = 60 | GyX = -3728 | GyY = 280 | GyZ = -4510
AcX = -5372 | AcY = 14952 | AcZ = -1504 | GyX = -3680 | GyY = -123 | GyZ = -4549
AcX = -5740 | AcY = 14448 | AcZ = -2916 | GyX = -3712 | GyY = -47 | GyZ = -4348
AcX = -5796 | AcY = 14212 | AcZ = -4236 | GyX = -3712 | GyY = -187 | GyZ = -4519
AcX = -6108 | AcY = 13920 | AcZ = -5564 | GyX = -3712 | GyY = -79 | GyZ = -4431
AcX = -6496 | AcY = 12924 | AcZ = -7644 | GyX = -3696 | GyY = 334 | GyZ = -4320
AcX = -6500 | AcY = 12608 | AcZ = -8136 | GyX = -3696 | GyY = 310 | GyZ = -4528
AcX = -6692 | AcY = 11688 | AcZ = -9772 | GyX = -3664 | GyY = 497 | GyZ = -4389
AcX = -6616 | AcY = 10364 | AcZ = -11904 | GyX = -3680 | GyY = 819 | GyZ = -4182
AcX = -6008 | AcY = 8788 | AcZ = -13320 | GyX = -3696 | GyY = 942 | GyZ = -4255
AcX = -5640 | AcY = 7528 | AcZ = -14560 | GyX = -3680 | GyY = 522 | GyZ = -4340
AcX = -5092 | AcY = 6160 | AcZ = -14948 | GyX = -3648 | GyY = 1057 | GyZ = -4636
AcX = -4320 | AcY = 4552 | AcZ = -16832 | GyX = -3680 | GyY = -2844 | GyZ = -3877
AcX = 11776 | AcY = 10092 | AcZ = -4256 | GyX = -3664 | GyY = -2135 | GyZ = -4358
AcX = 16800 | AcY = 680 | AcZ = -2772 | GyX = -3664 | GyY = -414 | GyZ = -4438
AcX = 16688 | AcY = -296 | AcZ = -2560 | GyX = -3680 | GyY = -426 | GyZ = -4587
AcX = 16700 | AcY = -340 | AcZ = -2456 | GyX = -3632 | GyY = -418 | GyZ = -4544
AcX = 16664 | AcY = -240 | AcZ = -2416 | GyX = -3664 | GyY = -427 | GyZ = -4584
AcX = 16748 | AcY = -340 | AcZ = -2500 | GyX = -3632 | GyY = -422 | GyZ = -4595
AcX = 16676 | AcY = -428 | AcZ = -2360 | GyX = -3648 | GyY = -419 | GyZ = -4585
AcX = 16744 | AcY = -552 | AcZ = -2528 | GyX = -3664 | GyY = -399 | GyZ = -4611
AcX = 16816 | AcY = -412 | AcZ = -2412 | GyX = -3664 | GyY = -414 | GyZ = -4602
AcX = 16748 | AcY = -392 | AcZ = -2600 | GyX = -3664 | GyY = -424 | GyZ = -4616
AcX = 16740 | AcY = -412 | AcZ = -2516 | GyX = -3680 | GyY = -420 | GyZ = -4638
AcX = 16768 | AcY = -488 | AcZ = -2336 | GyX = -3664 | GyY = -414 | GyZ = -4636
AcX = 16688 | AcY = -544 | AcZ = -2496 | GyX = -3648 | GyY = -419 | GyZ = -4634
AcX = 16656 | AcY = -500 | AcZ = -2556 | GyX = -3664 | GyY = -407 | GyZ = -4539
AcX = 16692 | AcY = -516 | AcZ = -2332 | GyX = -3632 | GyY = -433 | GyZ = -4578
AcX = 16704 | AcY = -540 | AcZ = -2520 | GyX = -3680 | GyY = -397 | GyZ = -4567
AcX = 16720 | AcY = -580 | AcZ = -2548 | GyX = -3648 | GyY = -439 | GyZ = -4611
AcX = 16768 | AcY = -604 | AcZ = -2512 | GyX = -3696 | GyY = -438 | GyZ = -4582
AcX = 16760 | AcY = -628 | AcZ = -2556 | GyX = -3696 | GyY = -431 | GyZ = -4604
AcX = 16652 | AcY = -504 | AcZ = -2560 | GyX = -3696 | GyY = -440 | GyZ = -4573
AcX = 16672 | AcY = -352 | AcZ = -2504 | GyX = -3680 | GyY = -434 | GyZ = -4653
AcX = 16712 | AcY = -500 | AcZ = -2292 | GyX = -3664 | GyY = -430 | GyZ = -4630
AcX = 16256 | AcY = -516 | AcZ = -1644 | GyX = -3696 | GyY = 639 | GyZ = -4523
